Uniq Id;Product Name;List Price;Brand;Category;Position x;Position y
ef41a35fd2c22485d83234740053dc16;GigaTent Mini Explorer Dome;13.00;Gigatent;Toys;7;2
6571214d21d29ba4fd357178d03b6660;American Kids Circular Kids Play Tent, Available in Multiple Prints;24.88;Mainstays;Toys;7;3
06b266a0435cc01bd0684ef751e6750f;Kahuna Triple Blast Kids Outdoor Inflatable Splash Pool Backyard Water Slide;629.99;Kahuna;Toys;7;4
6c3caca44e11b5fd95eba2b307f8efc5;Gorilla Playsets Buoy Ball with Green Chain and Spring Clips - Yellow;52.28.00;Gorilla Playsets;Toys;7;5
e6f51464c472795646095d41ed910e3e;Gorilla Playsets Periscope Swing Set Accessory - Blue;22.25;gorilla playsets;Toys;8;0
42a79d1688c4c6e7d26d436726fed002;Gorilla Playsets Plastic Safety Handles - Blue (pair);08.42;Gorilla Playsets;Toys;8;1
be23682486638b3490361a7b229a1084;Wham-o Frisbee Heavyweight Disc - Blue;09.49;Wham-O;Toys;8;2
f4f368d39ccd2caf51c033366d413d89;"Kent 26"" Monterey Folding Adult Trike, Red";199.00.00;Kent;Toys;8;3
bc786daa50e3f3de100a2e1f92efa3ba;Sassafras Leaf Tree Swing;22.44;Sassafras;Toys;8;4
3f021386a237757781c0d33f49811304;Hilitand 2 Pack Durable Swings Seats Chain Playground Swing Set Accessories with Snap Hooks, Swings Seats Chain, Playground Swing Set;32.98;Hilitand;Toys;8;5
fb7c6f37c7c932f2adf2288f9589ef19;YBIKE Balance Bike (Orange);86.69;YBIKE;Toys;9;0
4a7df379d7e3bdfb054474a3abb8c3a8;Kinetic Sand – Shimmering Sand Multi-Pack with Molds;0,734722222;Kinetic Sand;Toys;9;1
87c8359ce21da7b6ac5638301ef542ec;Air Blower Pump Fan 480 Watt 0.64HP For Inflatable Bounce House Bouncy Castle;97.99;Apontus;Toys;9;2
3dfcfd344ec314f5d732bdf4e674ea85;"Sun & Fun 23""Sandbox Castle 2-In-1 Sand And Water Table Beach Play Set For Kids";33.99;Sun & Fun;Toys;9;3
d8adea35cbaa248389058306d4523bed;Swing Set Stuff Inc. Steering Wheel (Red);19.52;Swing Set Stuff;Toys;9;4
19f813913712eeced58ecc4f0e1c3241;Jensen S130B Commerical Rubber Strap Seat with TriAngle Hardware - Blue;27.41.00;Jensen;Toys;9;5
d8312c9b4c2eb3c67e7b9075da42eb89;Tootsie Roll Pop Scented Bubble Wands, 3 Pack;02.15;Tootsie Roll;Toys;10;0
02d2e07f33cd7f5e15b0f013a4f6c4fe;Jensen S127B Commercial Roto Molded Flat Seat - Blue;63.81;Jensen;Toys;10;1
2d1f10876f2f568d9dc73e46de8eeafd;Swing-N-Slide Extreme-Duty Swing Seats with Chains - Yellow (2-Pack);54.95;Swing-N-Slide;Toys;10;2
fb086c58e4e44281164e493c45ee06e5;RoyalBaby Chipmunk 12 inch Lightweight Magnesium Sport Balance Bike, Red;84.99;RoyalBaby;Toys;10;3
a5017df935eea89d2a8e4ee00b03100c;Swing Set Stuff Inc. Cyclone Seat with Rope (Pink);27.00.00;Swing Set Stuff;Toys;10;4
388b911bd6769406215f64eb5001beaa;Kazam v2s Balance Bike - Green;116.77;Kent Bicycles;Toys;10;5
9745291a27654f0b2b4b5ca7a882ae6d;KidKraft Deluxe Play Teepee - Pink;79.99;KidKraft;Toys;11;0
