Uniq Id;Product Name;List Price;Brand;Category
fa5b2f9ad1bdc12b6a5e4b992c10ad53;Creative Images Systems Adore Semi-Permanent Haircolor, [116] Purple Rage 4 oz;06.09;Creative Images Systems;Beauty
48b08655223ac58525d96837111da654;Hair Chalk, Hair Chalk Pens, Temporary Washable Hair Color for Hair Dye, Safe & Non-allergenic Makeup Kit for Kids & All ages;09.48;Pretty See;Beauty
52fc5e5ffb02faa5ef34fc75bb1435d2;Kaleidoscope Miracle Drops Revitalize Regrowth Follicle Strengthen Weak Hair 2 oz;0,856944444;Kaleidoscope;Beauty
5582a9cf673d65bfbd56fbb4757abdcf;HairGenics Propridren DHT Blocker & Hair Growth Supplement;39.99;HairGenics;Beauty
4ad41a8b3f9f0ed25077f61032567e5c;(2 pack) Suave Max Hold Unscented Non Aerosol Hairspray, 11 oz;0,269444444;Suave;Beauty
3fe0430ca9c96ac80f8b1a9431f0e72a;Suave Max Hold 8 Non Aerosol Hairspray 11 oz;05.34;Suave;Beauty
f852c109d09e6431708fe610aed26f1c;Conair Professional Round Brush 80064Z / Ideal for blow-dry styling.;0,227777778;Conair;Beauty
7966dec1be12983fc4f0ce21b0b70a08;Bonnet Hood Hair Dryer Attachment- Soft, Adjustable Extra Large Hooded Bonnet for Hand Held Hair Dryer with Stretchable Grip and Extended Hose Length,Pink;09.49;Mancro;Beauty
aee428d38b6313f1a04359302574c179;"InfinitiPRO by Conair Ionic Steam Flat Iron, 1.5""";49.98;Conair;Beauty
a40fa6e3d560972610e547edece3c9ac;Avocado & Argan Oil Daily Moisturizer;08.54;Urban Hydration;Beauty
5aec8ec192fbc6cd2e941e5b9c562a7a;Marrakesh Hair Care Argan and Hemp Styling Oil, 2 Ounce, PACK OF 1;17.47;Marrakesh;Beauty
d9a1e63048b45254c6edb666262ba7aa;TRESemmé Thermal Creations Styling Aid Blow Dry Accelerator Spray 8 U.S. FL OZ;0,227083333;TRESemmé;Beauty
d1166ce1ba849b6ab674d8d268200591;Organic Root Stimulator Tea Tree Hair and Scalp Oil, 5.5 oz;0,298611111;ORS;Beauty
a17908dfb21318f67d1e8ca3f948b64d;Hask Purifying Dry Shampoo Charcoal With Citrus, 6.3 FL OZ;0,220138889;Hask;Beauty
4e03cf15987088803cfa180da43dd054;Batiste Dry Shampoo, Cherry Fragrance, 6.73 fl. oz.;06.48;Batiste;Beauty
4c491306e3a66942855aa1659f6b5815;OGX Shampoo, Anti-Breakage Keratin Oil, 13oz;0,259722222;OGX;Beauty
f100d754a832aafffec0f43d1882ed55;Art Naturals Organic Daily Argan Oil Sulfate Free Shampoo, 16 Oz;0,527083333;ArtNaturals;Beauty
ca44bb1d541951502bfb3bcd4e0a3a5e;OGX Extra Strength Damage Remedy + Coconut Miracle Oil Shampoo, 13 FL OZ;0,317361111;OGX;Beauty
ace22a7c84e0a42da810a0b7792a2459;Suave Professionals Shampoo and Conditioner Coconut Oil 12.6 oz, 2 count;0,234722222;Suave;Beauty
03e8675d2efe3099b1f6c3d96422199e;Giovanni Invigorating Shampoo, Tea Tree Triple Treat, 8.5-Ounce Bottles;07.45;Giovanni;Beauty
eb96e7506583e095ebbe68358958cef4;TRESemme Shampoo Ultimate Hydration 22 oz;0,231944444;TRESemmé;Beauty
e86a775353bbc81a8c9c4fbc7f9766aa;SoftSheen-Carson Sta-Sof-Fro Hair & Scalp Spray Leave In Conditioner with Lanolin;0,211111111;LOreal Paris;Beauty
edb4b87b26c923f76365cd11d47379a9;SheaMoisture Jamaican Black Castor Oil Strengthen & Restore Conditioner for Overly Processed, Chemically Treated or Heat Styled Hair 13 oz.;0,442361111;SheaMoisture;Beauty
e20ddcf76d898b8c2db1943af4221059;African Pride Moisture Miracle Curl Cream, Hydrate & Strengthen, 12 Oz;04.48;African Pride;Beauty
48685ed1910c217b86c7a543ce5e5a91;Optimum Defy Breakage No Lye Hair Relaxer with Whipped Oil Moisturizer, 1 Kit;0,317361111;Softsheen-Carson;Beauty
a5a771f08c49e0a466406ebb5d3c5dae;Wahl Clipper Corp. 9298-500 Multi Cut Clipper Refurbished (8-pc.);0,69375;Wahl;Beauty
c8eeceae5442a93ecd243fa30243babf;American Crew Firm Hold Styling Gel (Tube) 8.4 Oz;0,606944444;American Crew;Beauty
90ac7ec975d572bbd893e354749e9e97;TCCD Naturally Fresh Deodorant, 3 oz;0,265277778;Naturally Fresh;Beauty
7cac3feb3a1b27292ac7af789427be5c;2 Pack - Mitchum Invisible Anti-Perspirant & Deodorant Roll-On, Unscented 3.4 oz;0,44375;Mitchum;Beauty
