Uniq Id,Product Name,List Price,Brand,Category
242419bc9dae721e1b534eab35033835,CW-X Womens 3/4 Stabilyx Ventilator Tight,99.95,CW-X,Womens Clothing
d668c3fad3f6d6ec31b22ecc0364379e,adidas Tiro 19 Pants,76.7,adidas,Womens Clothing
0702dacc3fb4eaac0c9a38da5773a054,Showers Pass Womens Transit Pant,128.95,Showers Pass,Womens Clothing
5657ebc1959c1230a59d0b0898522a12,UnderTech UnderCover Womens Concealed Carry Short Shorts,59.99,UTUC,Womens Clothing
875e74bbbd0d100e3661f1930a3818f0,"Eddie Bauer Womens Willit Stretch Legend Wash Shorts - 5""",29.99,Eddie Bauer,Womens Clothing
e0f459c70ca3ef9d5c840080d9cbdfac,Pegasus Baby-Girls Fleece Robe Aqua / 9-12 Months,7.9,Pegasus,Womens Clothing
e2343fe2bd74da63f8804a0bf75b650a,862 Select Comfort Open Toe Thigh w/ Grip Band - 20-30 mmHg Short Sig862N-OT,85.56,SIGVARIS,Womens Clothing
02b00f81bb684a5fb6917159449cc71c,"Truform Womens Stockings, Knee High, Sheer, Open Toe: 15-20 mmHg, Nude, Medium",12.99,Truform,Womens Clothing
bec721f787861012f0de076db09ccaf9,Terramar Womens 3.0 Footless Legging,5.99,Terramar,Womens Clothing
4b6cedd37827d137bf5ad4c87ad85026,"Anti-Embolism Stockings,XL/Lng 15-20mmHg,Thigh Hi, Insp. Toe",30.11,Branded,Womens Clothing
d978c9cdf86c9f5fa4a6477feff5240b,Venosan Legline Closed Toe Pantyhose - 15-20 mmHg,34.39,Venosan,Womens Clothing
5beaa58fc6a896055e6d97db76e45c81,Dr. Scholls Womens Low Cut Marl Spa Sock with Treads 2 Pack,9.22,Dr. Scholls,Womens Clothing
57ffe0651d96c29401f8a9b00c55228b,"Salk - HealthDri Acrylic Diabetic Sock Size 10 - 13, White",22.99,HealthDri,Womens Clothing
cdd1a736c47c9538db2e85562c5b3c85,Womens Cotton Extra Soft Over the Calf Cushion Socks - 3 Pairs,20.99,Galiva,Womens Clothing
2367db0b41586ab772a082d0bfd977bd,Activa H6163 PressureLite Light Energizing Diabetic Socks Crew Length - Size- Large Color- Black,17.42,ACT��VA,Womens Clothing
cfe5faf10d55ba892dd055253892ff03,Dr. Scholls Womens Advanced Relief Knee High Socks with BlisterGuard 2 Pack,8.7,Dr. Scholls,Womens Clothing
a9d4eea5117cf0e9ebff2b5a48d27389,"Truform Compression Stockings, 15-20 mmHg, Sheer, Knee High, Black, XL",12.99,Truform,Womens Clothing
48aa6a07270119bcea7552bbc112c9b2,Womens Cotton Comfort Quarter Cushion Socks - 3 Pairs,15.99,ChanPell,Womens Clothing
48bdd1f4a91293ec0a6b619602fa36f3,Womens Cotton Premium Quarter Cushion Socks - 3 Pairs,15.99,Frad Rivka,Womens Clothing
7841a1f4d9f60feea7010050e6524ab2,Womens Cotton Extra Soft Crew Cushion Socks - 3 Pairs,17.99,Galiva,Womens Clothing
a9c9db9f4de65f4614f5cb3f1cfe9af9,Womens Cute Hoodies Kitty Printed Long Sleeve Cat Ear Hooded Sweatshirt Pullover Blouse,12.87,Mancro,Womens Clothing
dafb793551b51d8b41ee096e4787e40a,Eddie Bauer Womens Shasta Faux Fur Hooded Cardigan Sweater,79.99,Eddie Bauer,Womens Clothing
afb4c6d740f900610b531f9af8e45bd7,Womens Fashion Long Sleeve Sweater Cardigan Winter Long Coat Sweater Jacket,36.99,SySea,Womens Clothing
fff3ad98a089b26540552bebef38721e,"Speedo Womens Halter Top Tankini Swimsuit (Rio Tile Black, 12)",31.99,Speedo,Womens Clothing
9754f117dd09ef447de37e2e62bf8a3f,Elizabeth Jane Black Rash Guard Bikini Top,42.99,Elizabeth Jane,Womens Clothing
edfd029dffc7a5e628f605d48f5d043e,"Charmo Womens Rashguard Long Sleeve Quick Dry Swimwear UV Protection Swimsuits for Surfing, Hiking, Swimming",17.99,Charmo,Womens Clothing
ecb611226e87868859f1b8e740ba19fa,Aqua Sphere Womens Swim Skin Wetsuit Top Long Sleeve High Neck Rash Guard Shirt,19,Aqua Sphere,Womens Clothing
c9f9ba3be5cf88c4f734a4cf50290693,Mares Womens Trilastic Rash Guard Long Sleeve Crew,24.95,Mares,Womens Clothing
d341702321d4f268bfa2f4a0a4f6a4cd,Mares Trilastic Womens Short Sleeve Rash Guard,19.67,Mares,Womens Clothing
ce7264721da777a56905464872ea49b9,Womens Point Collar Long Sleeve Ruched Button Decor Cuffs Shirt,18.99,Unique Bargains,Womens Clothing
28643c71412b0c2985c095c6eb363ef5,Womens Roll Up Sleeves Buttoned Pocket Plaids Shirt Blouse Tops,20.54,Unique Bargains,Womens Clothing
3c1e3019343a301119bcfb7d405364fb,Moosejaw Womens Applegate Snap Flannel,39.99,Moosejaw,Womens Clothing
146a06ddc527963b2baac9bc614acc5d,"Rollerblade Performance Helmet, Unisex, Silver and White, Medium",57.15,Rollerblade,Womens Clothing
b760ebcadbf7afb46f819a2208ba3aff,Ellos Plus Size Lace Hem Bike Shorts,22.91,Ellos,Womens Clothing
75609df5ca04e89805037e86d27e159e,Plus size Women Basic Stretch Bike Shorts Fitness Workout Shorts Yoga Shorts Tummy Control Short Pants Pockets Leggings,11.69,Sexy Dance,Womens Clothing
75964923c9ea3070faf890014c399837,Womens Plus Strappy Cold Shoulder Trumpet Sleeves Top,23.99,Unique Bargains,Womens Clothing
